drugbank_id,mesh_id,relation,trial_phase,approval_status
DB00959,D009140,treats,,Approved
DB00959,D010392,treats,,Approved
DB00959,D012507,treats,,Approved
DB00959,D014235,treats,,Approved
DB00959,D029503,treats,,Approved
DB00959,D009404,treats,,Approved
DB00959,D002062,treats,,Approved
DB00959,D003424,treats,,Approved
DB00959,D001327,treats,,Approved
DB00959,D011565,treats,,Approved
DB00959,D014391,treats,,Approved
DB00959,D015212,treats,,Approved
DB00959,D003876,treats,,Approved
DB00959,D012221,treats,,Approved
DB14644,D009404,treats,,Approved
DB01214,D005902,treats,,Approved
DB01214,D009798,treats,,Approved
DB00340,D020734,treats,,Approved
DB00264,D009203,treats,,Approved
DB00264,D054058,treats,,Approved
DB00264,D000787,treats,,Approved
DB06288,D020250,treats,,Approved
DB00916,D008101,treats,,Approved
DB00916,D014245,treats,,Approved
DB00916,D008100,treats,,Approved
DB00916,D010538,treats,,Approved
DB00916,D005873,treats,,Approved
DB00916,D012393,treats,,Approved
DB00916,D001922,treats,,Approved
DB00916,D018784,treats,,Approved
DB00916,D004716,treats,,Approved
DB15759,D008101,treats,,Approved
DB15759,D014245,treats,,Approved
DB15759,D008100,treats,,Approved
DB15759,D010538,treats,,Approved
DB15759,D005873,treats,,Approved
DB15759,D012393,treats,,Approved
DB15759,D001922,treats,,Approved
DB15759,D018784,treats,,Approved
DB15759,D004716,treats,,Approved
DB00765,D010673,treats,,Approved
DB00948,D014552,treats,,Approved
DB00948,D016868,treats,,Approved
DB00948,D006069,treats,,Approved
DB06148,D003865,treats,,Approved
DB01388,D000787,treats,,Approved
DB01141,D058387,treats,,Approved
DB00321,D003866,treats,,Approved
DB01110,D003963,treats,,Approved
DB01110,D014008,treats,,Approved
DB01110,D002181,treats,,Approved
DB01110,D014010,treats,,Approved
DB01110,D014009,treats,,Approved
DB00683,D011595,treats,,Approved
DB00683,D013226,treats,,Approved
DB00683,D001007,treats,,Approved
DB00211,D007024,treats,,Approved
DB00419,D052556,treats,,Approved
DB00419,D005776,treats,,Approved
DB04896,D005356,treats,,Approved
DB09031,D016773,treats,,Approved
DB09031,D007898,treats,,Approved
DB01017,D001991,treats,,Approved
DB01017,D008088,treats,,Approved
DB01017,D010930,treats,,Approved
DB01017,D002771,treats,,Approved
DB01017,D012061,treats,,Approved
DB01017,D009956,treats,,Approved
DB01017,D000152,treats,,Approved
DB01017,D000196,treats,,Approved
DB01017,D013587,treats,,Approved
DB01017,D002006,treats,,Approved
DB01017,D008219,treats,,Approved
DB01017,D010518,treats,,Approved
DB01017,D006100,treats,,Approved
DB01017,D012852,treats,,Approved
DB01017,D006069,treats,,Approved
DB01017,D012373,treats,,Approved
DB01017,D014141,treats,,Approved
DB01017,D014406,treats,,Approved
DB01017,D010612,treats,,Approved
DB01017,D011778,treats,,Approved
DB01017,D014552,treats,,Approved
DB01017,D001474,treats,,Approved
DB01017,D015001,treats,,Approved
DB01017,D011014,treats,,Approved
DB00350,D000505,treats,,Approved
DB00370,D003865,treats,,Approved
DB00929,D006473,treats,,Approved
DB01204,D020529,treats,,Approved
DB12523,D012221,treats,,Approved
DB01171,D003866,treats,,Approved
DB00745,D009290,treats,,Approved
DB00745,D020177,treats,,Approved
DB00381,D000788,treats,,Approved
DB00381,D000787,treats,,Approved
DB01618,D012559,treats,,Approved
DB09282,D000787,treats,,Approved
DB14512,D016410,treats,,Approved
DB14512,D001249,treats,,Approved
DB14512,D011538,treats,,Approved
DB14512,D005076,treats,,Approved
DB14512,D016460,treats,,Approved
DB14512,D003876,treats,,Approved
DB00764,D016410,treats,,Approved
DB00764,D001249,treats,,Approved
DB00764,D011538,treats,,Approved
DB00764,D005076,treats,,Approved
DB00764,D016460,treats,,Approved
DB00764,D003876,treats,,Approved
DB13764,D014689,treats,,Approved
DB01351,D004827,treats,,Approved
DB01351,D013226,treats,,Approved
DB13597,D006193,treats,,Approved
DB00295,D059350,treats,,Approved
DB00295,D010146,treats,,Approved
DB00295,D003967,treats,,Approved
DB13676,D012559,treats,,Approved
DB13368,D000152,treats,,Approved
DB00218,D061387,treats,,Approved
DB00218,D009177,treats,,Approved
